Time (h) 2022-10-13T07.07.00.130;OTR (mmol/L/h) Flask A1;CTR (mmol/L/h) Flask A1;RQ Flask A1;integral OTR (mmol/L) Flask A1;integral CTR (mmol/L) Flask A1;O2 cal. factor (Pa/V) Flask A1;;Time (h) 2022-10-13T07.07.01.278;OTR (mmol/L/h) Flask A2;CTR (mmol/L/h) Flask A2;RQ Flask A2;integral OTR (mmol/L) Flask A2;integral CTR (mmol/L) Flask A2;O2 cal. factor (Pa/V) Flask A2;;Time (h) 2022-10-13T07.07.01.594;OTR (mmol/L/h) Flask A3;CTR (mmol/L/h) Flask A3;RQ Flask A3;integral OTR (mmol/L) Flask A3;integral CTR (mmol/L) Flask A3;O2 cal. factor (Pa/V) Flask A3;;Time (h) 2022-10-13T07.07.01.396;OTR (mmol/L/h) Flask A4;CTR (mmol/L/h) Flask A4;RQ Flask A4;integral OTR (mmol/L) Flask A4;integral CTR (mmol/L) Flask A4;O2 cal. factor (Pa/V) Flask A4;;
0.33524;2.456922;0.312320;0.127118;0.818974;0.104107;10507.314185;;0.33522;1.113009;0.329919;0.296421;0.371003;0.109973;9662.911550;;0.33383;1.528189;0.299094;0.195718;0.509396;0.099698;10477.446193;;0.33383;1.042200;0.325750;0.312560;0.347400;0.108583;11242.182864;;
0.66858;1.310552;0.344044;0.262518;1.255825;0.218788;10579.045884;;0.66856;0.371913;0.366057;0.984252;0.494974;0.231992;9652.537667;;0.66856;0.200699;0.345547;1.721712;0.576296;0.214880;10363.195043;;0.66856;-0.791187;0.360874;-0.456117;0.083671;0.228875;11092.473443;;
1.00331;1.173575;0.431764;0.367904;1.647016;0.362709;10551.246878;;1.00190;0.370201;0.418188;1.129626;0.618374;0.371388;9651.312625;;1.00191;0.001700;0.441072;259.530436;0.576862;0.361904;10395.580343;;1.00191;-0.225415;0.396026;-1.756871;0.008532;0.360883;11127.230206;;
1.33667;0.850758;0.484061;0.568976;1.930602;0.524063;10583.964265;;1.33665;0.269537;0.460731;1.709344;0.708220;0.524965;9664.454849;;1.33665;-0.184675;0.500676;-2.711122;0.515304;0.528796;10381.622636;;1.33665;-0.033057;0.473453;-14.322203;-0.002487;0.518701;11093.183828;;
1.67141;0.059671;0.579527;9.711980;1.950493;0.717238;10588.528742;;1.67000;0.531913;0.525056;0.987110;0.885524;0.699984;9652.066360;;1.67001;2.229473;0.557577;0.250094;1.258462;0.714655;10366.617881;;1.67001;2.851179;0.515628;0.180847;0.947906;0.690577;11105.966006;;
2.00478;0.984343;0.630241;0.640266;2.278607;0.927319;10594.454217;;2.00475;0.205012;0.610030;2.975579;0.953861;0.903327;9670.357300;;2.00476;0.802228;0.632516;0.788449;1.525871;0.925494;10364.877170;;2.00476;0.411962;0.604293;1.466869;1.085227;0.892008;11086.343100;;
2.33814;1.073717;0.742804;0.691807;2.636513;1.174920;10600.469785;;2.33811;0.406707;0.732648;1.801415;1.089430;1.147543;9674.772145;;2.33813;0.720162;0.725089;1.006843;1.765925;1.167190;10362.145523;;2.33812;0.565606;0.687921;1.216256;1.273762;1.121315;11083.113961;;
2.67289;0.666255;0.883249;1.325694;2.858598;1.469337;10606.082009;;2.67148;0.559859;0.852708;1.523078;1.276050;1.431779;9686.128864;;2.67149;2.008943;0.875489;0.435796;2.435573;1.459020;10370.416503;;2.67148;2.455184;0.814012;0.331548;2.092157;1.392652;11104.545834;;
3.00626;1.439218;1.044991;0.726082;3.338337;1.817667;10603.154794;;3.00623;0.595897;1.018458;1.709118;1.474682;1.771265;9685.620131;;3.00625;0.983870;1.027709;1.044557;2.763530;1.801590;10364.024701;;3.00624;0.752049;0.965488;1.283809;2.342840;1.714481;11083.643853;;
3.33963;1.433849;1.292126;0.901159;3.816287;2.248376;10610.465505;;3.33960;0.816215;1.210787;1.483417;1.746754;2.174861;9693.191164;;3.33962;0.999474;1.235231;1.235882;3.096687;2.213333;10361.870374;;3.33961;0.837187;1.114352;1.331067;2.621902;2.085932;11079.505393;;
3.67439;1.290320;1.527008;1.183434;4.246393;2.757378;10599.342119;;3.67436;1.150444;1.454791;1.264548;2.130235;2.659791;9687.157309;;3.67438;2.544048;1.465136;0.575907;3.944704;2.701712;10368.188825;;3.67437;2.956257;1.373081;0.464466;3.607321;2.543626;11098.501784;;
4.00775;2.227604;1.886374;0.846818;4.988928;3.386170;10607.690504;;4.00773;1.574696;1.808043;1.148186;2.655134;3.262472;9696.115857;;4.00775;1.787506;1.771784;0.991204;4.540539;3.292307;10361.240081;;4.00774;1.711824;1.627341;0.950647;4.177929;3.086073;11074.574385;;
4.34251;2.625238;2.268526;0.864122;5.864007;4.142345;10611.778751;;4.34110;1.869738;2.190832;1.171732;3.278380;3.992750;9706.045025;;4.34113;1.998967;2.186167;1.093648;5.206861;4.021029;10365.177050;;4.34110;1.893912;1.987834;1.049591;4.809233;3.748684;11081.976064;;
4.67588;2.443877;2.720833;1.113327;6.678633;5.049290;10610.119240;;4.67586;2.124459;2.644080;1.244590;3.986533;4.874110;9705.094167;;4.67589;3.207411;2.645168;0.824705;6.275998;4.902751;10367.571416;;4.67586;3.462853;2.432121;0.702346;5.963517;4.559391;11102.913276;;
5.00924;3.664068;3.270039;0.892461;7.899989;6.139302;10618.176555;;5.00922;2.948382;3.153069;1.069424;4.969327;5.925133;9716.152716;;5.00925;3.128630;3.032969;0.969424;7.318875;5.913741;10363.891447;;5.00922;2.964895;2.781538;0.938157;6.951816;5.486570;11083.463321;;
5.34400;4.098536;3.839180;0.936720;9.266167;7.419029;10620.550907;;5.34398;3.477255;3.754737;1.079799;6.128412;7.176712;9718.931184;;5.34401;3.582388;3.569550;0.996416;8.513004;7.103591;10362.805455;;5.34398;3.405386;3.345631;0.982453;8.086944;6.601780;11083.145163;;
5.67736;4.870631;4.568997;0.938071;10.889711;8.942028;10610.507134;;5.67735;4.412165;4.439194;1.006126;7.599134;8.656443;9719.669275;;5.67737;5.442323;4.222026;0.775776;10.327112;8.510933;10363.562605;;5.67736;5.669191;3.947470;0.696302;9.976674;7.917604;11099.924095;;
6.01212;6.561533;5.272656;0.803571;13.076889;10.699580;10613.427484;;6.01072;5.704801;5.082279;0.890877;9.500734;10.350536;9723.261271;;6.01075;5.788779;4.884232;0.843741;12.256705;10.139010;10358.524619;;6.01073;5.558870;4.531025;0.815098;11.829631;9.427945;11078.419882;;
6.34549;6.778439;5.889713;0.868889;15.336368;12.662817;10616.440495;;6.34549;6.370710;5.676608;0.891048;11.624304;12.242739;9729.194952;;6.34552;7.259871;5.423890;0.747106;14.676662;11.946974;10360.633164;;6.34550;7.836294;5.147942;0.656936;14.441729;11.143926;11101.534080;;
